post_title,product_page_url,ebook Link,Audiobook Link,post_excerpt,sku,regular_price,sale_price,weight,images,meta:total_sales,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Dimension,attribute_data:Dimension,attribute:Edition,attribute_data:Edition,attribute:SIZE,attribute_data:SIZE,attribute:SIZE (Inches),attribute_data:SIZE (Inches),attribute:TYPE,attribute_data:TYPE,attribute:VARIATION,attribute_data:VARIATION,attribute:pa_artist,attribute_data:pa_artist,attribute:pa_authorby,attribute_data:pa_authorby,attribute:pa_binding,attribute_data:pa_binding,attribute:pa_isbn,attribute_data:pa_isbn,attribute:pa_language,attribute_data:pa_language,attribute:pa_media-type,attribute_data:pa_media-type,attribute:pa_no-of-pages,attribute_data:pa_no-of-pages,attribute:pa_publisher,attribute_data:pa_publisher,attribute:pa_subject,attribute_data:pa_subject,attribute:pa_tags,attribute_data:pa_tags
A Simple Life of Swami Vivekananda,https://shop.advaitaashrama.org/product/a-simple-life-of-swami-vivekananda-1/,https://ebooks.advaitaashrama.org/product/a-simple-life-of-swami-vivekananda-1,https://play.google.com/store/audiobooks/details/Brahmachari_Amal_A_Simple_Life_of_Swami_Vivekanand?id=AQAAAEDMTGMMvM,Br. Amal,ACE010,45,36,105,https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ace010.v1.jpg ! alt : ! title : ace010.v1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/a-simple-life-of-swami-vivekananda-content.jpg ! alt : ! title : a-simple-life-of-swami-vivekananda-content ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACE010_1.jpg ! alt : ! title : ACE010_1 ! desc : ! caption :,90,simple,rated-5,Advaita Ashrama Publication|Books > Self Help > Value Education|Books|Books > Swami Vivekananda|Books > Swami Vivekananda > Vivekananda – Life,,,,,,,,,,,,,,,,,Br. Amal,0|1|0,Paperback,0|1|0,9.79E+12,0|1|0,English,0|1|0,,,72,0|1|0,Advaita Ashrama,0|1|0,,,,
Stories from Vedanta,https://shop.advaitaashrama.org/product/stories-from-vedanta/,https://ebooks.advaitaashrama.org/product/stories-from-vedanta,,Swami Amarananda,ACE011,40,32,95,https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ace011.v1.jpg ! alt : ! title : ace011.v1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/stories-from-vedanta-contents-1.jpg ! alt : ! title : stories-from-vedanta-contents-1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/stories-from-vedanta-contents-2.jpg ! alt : ! title : stories-from-vedanta-contents-2 ! desc : ! caption :,171,simple,outofstock|rated-5,Advaita Ashrama Publication|Books,Advaita Ashrama|Children&#039;s Books|English|Swami Amarananda,,,,,,,,,,,,,,,,Swami Amarananda,0|1|0,Paperback,0|1|0,9.79E+12,0|1|0,English,0|1|0,,,72,0|1|0,Advaita Ashrama,0|1|0,,,Children's Books,0|1|0
Swami Vivekananda's Childhood,https://shop.advaitaashrama.org/product/swami-vivekanandas-childhood-1/,,,Pronabesh Chakraborty,ACE012,40,32,110,https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACE012-4.jpg ! alt : ! title : Swami Vivekananda's Childhood.indd ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/swami-vivekanandas-childhood-content.jpg ! alt : ! title : swami-vivekanandas-childhood-content ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACE012-0-scaled.jpg ! alt : ! title : ACE012-0 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACE012-2.jpg ! alt : ! title : ACE012-2 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACE012-3.jpg ! alt : ! title : ACE012-3 ! desc : ! caption :,56,simple,rated-4,Advaita Ashrama Publication|Books,,,,,,,,,,,,,,,,,Pronabesh Chakraborty,0|1|0,Paperback,2|1|0,9.79E+12,1|1|0,English,4|1|0,,,40,3|1|0,Advaita Ashrama,5|1|0,,,,
Sri Ramakrishna ki Jeevan-Katha,https://shop.advaitaashrama.org/product/sri-ramakrishna-ki-jeevankatha/,,,Swami Smaranananda,ACH001,45,36,105,https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH001-1.jpg ! alt : ! title : ACH001 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH001-1.jpeg ! alt : ! title : ACH001-1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH001-2-scaled.jpg ! alt : ! title : ACH001-2 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH001-3-scaled.jpg ! alt : ! title : ACH001-3 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH001-4-scaled.jpg ! alt : ! title : ACH001-4 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH001-5-scaled.jpg ! alt : ! title : ACH001-5 ! desc : ! caption :,57,simple,outofstock,Advaita Ashrama Publication|Books|Books > Children's Books|Books > Sri Ramakrishna,,,,,,,,,,,,,,,,,Swami Smaranananda,0|1|0,Paperback,2|1|0,9.79E+12,1|1|0,Hindi,3|1|0,,,48,4|1|0,Advaita Ashrama,5|1|0,,,,
Sri Ramakrishna Ki Kahaniya,https://shop.advaitaashrama.org/product/sri-ramakrishna-ki-kahaniyan-1/,,,Swami Smaranananda,ACH002,35,28,115,https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH002-6.jpg ! alt : ! title : ACH002 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH002-1-1.jpg ! alt : ! title : ACH002-1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH002-2.jpg ! alt : ! title : ACH002-2 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH002-3.jpg ! alt : ! title : ACH002-3 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH002-4.jpg ! alt : ! title : ACH002-4 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH002-5.jpg ! alt : ! title : ACH002-5 ! desc : ! caption :,52,simple,outofstock|rated-5,Advaita Ashrama Publication|Books|Books > Children's Books|Books > Sri Ramakrishna|Books > Sri Ramakrishna > Ramakrishna - Life,,,,,,,,,,,,,,,,,Swami Smaranananda,0|1|0,Paperback,1|1|0,9.79E+12,2|1|0,Hindi,4|1|0,,,56,3|1|0,Advaita Ashrama,5|1|0,,,,
Sri Ramakrishna Katha Chitramala,https://shop.advaitaashrama.org/product/sri-ramakrishna-katha-chitramala-1/,,,A Compilation,ACH003,50,40,135,https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH003-4.jpg ! alt : ! title : ACH003 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH003-0A-scaled.jpg ! alt : ! title : ACH003-0A ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH003-1-1-scaled.jpg ! alt : ! title : ACH003-1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH003-2-scaled.jpg ! alt : ! title : ACH003-2 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH003-3.jpg ! alt : ! title : ACH003-3 ! desc : ! caption :,18,simple,,Advaita Ashrama Publication|Books|Books > Children's Books,,,,,,,,,,,,,,,,,A Compilation,0|1|0,Paperback,2|1|0,9.79E+12,1|1|0,Hindi,4|1|0,,,64,3|1|0,Advaita Ashrama,5|1|0,,,,
Sarada Devi ki Jivankatha,https://shop.advaitaashrama.org/product/sarada-devi-ki-jivankatha-1/,,,Swami Smaranananda,ACH004,26,21,75,https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH004-2.jpg ! alt : ! title : ACH004 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ach004.v1-1-scaled.jpg ! alt : ! title : ach004.v1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ach004.v2-scaled.jpg ! alt : ! title : ach004.v2 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ach004.v3-scaled.jpg ! alt : ! title : ach004.v3 ! desc : ! caption :,46,simple,outofstock,Advaita Ashrama Publication|Books|Books > Children's Books,,,,,,,,,,,,,,,,,Swami Smaranananda,0|1|0,Paperback,2|1|0,9.79E+12,1|1|0,Hindi,3|1|0,,,32,4|1|0,Advaita Ashrama,5|1|0,,,,
Vivekanand Ki Kahani,https://shop.advaitaashrama.org/product/vivekananda-ki-kahani-1/,,,Irene R. Ray | Mallika Gupta,ACH005,45,36,145,https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH005-2.jpg ! alt : ! title : ACH005 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH005_1.jpg ! alt : ! title : ACH005_1 ! desc : ! caption :,35,simple,,Advaita Ashrama Publication|Books > Self Help > Value Education|Books|Books > Children's Books|Books > Swami Vivekananda|Books > Swami Vivekananda > Vivekananda – Life,Advaita Ashrama|Children&#039;s Books|Hindi|Irene R. Ray|Mallika Gupta|Value Education - PRIMARY,,,,,,,,,,,,,,,,Irene R. Ray|Mallika Gupta,0|1|0,Paperback,0|1|0,9.79E+12,0|1|0,Hindi,0|1|0,,,72,0|1|0,Advaita Ashrama,0|1|0,,,Children's Books,0|1|0
Vivekanand ki Bodh Kathayein,https://shop.advaitaashrama.org/product/vivekananda-ki-bodh-kathayein-1/,,,Swami Ishatmananda,ACH006,30,24,75,https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ach006.v1.jpg ! alt : ! title : ach006.v1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH006_1.jpg ! alt : ! title : ACH006_1 ! desc : ! caption :,83,simple,outofstock,Advaita Ashrama Publication|Books > Self Help > Value Education|Books|Books > Children's Books,Advaita Ashrama|Children&#039;s Books|Hindi|Swami Ishatmananda|Value Education - PRIMARY,,,,,,,,,,,,,,,,Swami Ishatmananda,0|1|0,Paperback,0|1|0,9.79E+12,0|1|0,Hindi,0|1|0,,,32,0|1|0,Advaita Ashrama,0|1|0,,,Children's Books,0|1|0
Vivekanand ki Manoram Kahaniyan,https://shop.advaitaashrama.org/product/vivekananda-ki-manoram-kahaniyan-1/,,,Swami Ishatmananda,ACH007,35,28,75,https://shop.advaitaashrama.org/wp-content/uploads/2021/10/ACH007-Vivekanand-ki-Manoram-Kahaniyan.jpg ! alt : ! title : ACH007-Vivekanand ki Manoram Kahaniyan ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH007_1.jpg ! alt : ! title : ACH007_1 ! desc : ! caption :,62,simple,outofstock,Advaita Ashrama Publication|Books > Self Help > Value Education|Books|Books > Children's Books|Books > Self Help,Advaita Ashrama|Children&#039;s Books|Hindi|Swami Ishatmananda|Value Education - PRIMARY,,,,,,,,,,,,,,,,Swami Ishatmananda,0|1|0,Paperback,0|1|0,9.79E+12,0|1|0,Hindi,0|1|0,,,32,0|1|0,Advaita Ashrama,0|1|0,,,Children's Books,0|1|0
Singha Shavak Hari,https://shop.advaitaashrama.org/product/singha-shavak-hari-1/,,,Sister Gargi (Marie Louise Burke),ACH008,40,32,75,https://shop.advaitaashrama.org/wp-content/uploads/2021/10/ACH008-Singha-Shavak-Hari.jpg ! alt : ! title : ACH008-Singha Shavak Hari ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH008_1.jpg ! alt : ! title : ACH008_1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ach008.v2.jpg ! alt : ! title : ach008.v2 ! desc : ! caption :,25,simple,,Advaita Ashrama Publication|Books > Self Help > Value Education|Books|Books > Children's Books|Books > Philosophy > Moral Values,Advaita Ashrama|Children&#039;s Books|Hindi|Sister Gargi (Marie Louise Burke)|Value Education – UPPER PRIMARY,,,,,,,,,,,,,,,,Sister Gargi (Marie Louise Burke),0|1|0,Paperback,0|1|0,9.79E+12,0|1|0,Hindi,0|1|0,,,32,0|1|0,Advaita Ashrama,0|1|0,,,Children's Books,0|1|0
Swami Vivekanand ki Saral Jivani,https://shop.advaitaashrama.org/product/swami-vivekananda-ki-saral-jivani-1/,,,Br. Amal,ACH009,32,26,95,https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ach009.v1.jpg ! alt : ! title : ach009.v1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/swami-vivekanand-ki-saral-jivani-content.jpg ! alt : ! title : swami-vivekanand-ki-saral-jivani-content ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ACH009_1.jpg ! alt : ! title : ACH009_1 ! desc : ! caption :,36,simple,,Advaita Ashrama Publication|Books > Self Help > Value Education|Books|Books > Children's Books|Books > Swami Vivekananda|Books > Swami Vivekananda > Vivekananda – Life,Advaita Ashrama|Br. Amal|Children&#039;s Books|Hindi|Value Education – UPPER PRIMARY,,,,,,,,,,,,,,,,Br. Amal,0|1|0,Paperback,0|1|0,9.79E+12,0|1|0,Hindi,0|1|0,,,72,0|1|0,Advaita Ashrama,0|1|0,,,Children's Books,0|1|0
Vedant-Bodhak Kathayein,https://shop.advaitaashrama.org/product/vedanta-bodhak-kathayein/,,,Swami Amarananda,ACH010,50,40,95,https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ach010.v1.jpg ! alt : ! title : ach010.v1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/vedant-bodhak-kathayein-contents-1.jpg ! alt : ! title : vedant-bodhak-kathayein-contents-1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/vedant-bodhak-kathayein-contents-2.jpg ! alt : ! title : vedant-bodhak-kathayein-contents-2 ! desc : ! caption :,86,simple,,Advaita Ashrama Publication|Books|Books > Children's Books,Advaita Ashrama|Children&#039;s Books|Hindi|Swami Amarananda,,,,,,,,,,,,,,,,Swami Amarananda,0|1|0,Paperback,0|1|0,9.79E+12,0|1|0,Hindi,0|1|0,,,71,0|1|0,Advaita Ashrama,0|1|0,,,Children's Books,0|1|0
Bhagavat ki Kathayen,https://shop.advaitaashrama.org/product/bhagavat-ki-kathaye/,,,Swami Amalananda,ACH011,110,88,210,https://shop.advaitaashrama.org/wp-content/uploads/2016/10/ach011.v1.jpg ! alt : ! title : ach011.v1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/bhagavat-ki-kathayen-contents-1.jpg ! alt : ! title : bhagavat-ki-kathayen-contents-1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/bhagavat-ki-kathayen-contents-2.jpg ! alt : ! title : bhagavat-ki-kathayen-contents-2 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/bhagavat-ki-kathayen-contents-3.jpg ! alt : ! title : bhagavat-ki-kathayen-contents-3 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2016/10/bhagavat-ki-kathayen-contents-4.jpg ! alt : ! title : bhagavat-ki-kathayen-contents-4 ! desc : ! caption :,84,simple,,Advaita Ashrama Publication|Books,Advaita Ashrama|Children&#039;s Books|Hindi|Swami Amalananda,,,,,,,,,,,,,,,,Swami Amalananda,0|1|0,Paperback,0|1|0,9.79E+12,0|1|0,Hindi,0|1|0,,,152,0|1|0,Advaita Ashrama,0|1|0,,,Children's Books,0|1|0
